,name,category
326,Branch McCracken,Player
327,Charles Murphy,Player
328,Henry Porter,Contributor
329,John Wooden,Player
330,Original Celtics,Team
331,The First Team,Team
332,Phog Allen,Coach
333,Henry Clifford Carlson,Coach
334,Luther Gulick,Contributor
335,Edward Hickox,Contributor
336,Charles Hyatt,Player
337,Matthew Kennedy,Referee
338,Hank Luisetti,Player
339,Walter Meanwell,Coach
340,George Mikan,Player
341,Ralph Morgan,Contributor
342,James Naismith,Contributor
343,Harold Olsen,Contributor
344,John Schommer,Player
345,Amos Alonzo Stagg,Contributor
346,Oswald Tower,Contributor
